id,label
59999,4
60000,1
60001,7
60002,8
60003,9
60004,3
60005,2
60006,7
60007,3
60008,8
60009,0
60010,0
60011,0
60012,5
60013,1
60014,0
60015,8
60016,4
60017,7
60018,2
60019,6
60020,4
60021,7
60022,3
60023,4
60024,7
60025,2
60026,8
60027,5
60028,3
60029,5
60030,8
60031,7
60032,6
60033,6
60034,3
60035,8
60036,7
60037,6
60038,2
60039,0
60040,8
60041,2
60042,0
60043,4
60044,3
60045,4
60046,1
60047,1
60048,6
60049,7
60050,0
60051,4
60052,8
60053,9
60054,1
60055,9
60056,9
60057,1
60058,1
60059,2
60060,7
60061,0
60062,3
60063,8
60064,0
60065,1
60066,3
60067,4
60068,5
60069,9
60070,4
60071,4
60072,2
60073,0
60074,0
60075,8
60076,7
60077,2
60078,7
60079,4
60080,6
60081,7
60082,1
60083,3
60084,1
60085,5
60086,1
60087,3
60088,2
60089,0
60090,0
60091,1
60092,1
60093,1
60094,1
60095,7
60096,3
60097,8
60098,2
60099,2
60100,1
60101,5
60102,6
60103,5
60104,9
60105,8
60106,5
60107,5
60108,6
60109,3
60110,1
60111,9
60112,2
60113,5
60114,5
60115,2
60116,1
60117,5
60118,2
60119,7
60120,8
60121,5
60122,7
60123,6
60124,3
60125,7
60126,8
60127,2
60128,4
60129,5
60130,0
60131,1
60132,5
60133,4
60134,5
60135,8
60136,7
60137,5
60138,5
60139,2
60140,5
60141,4
60142,1
60143,0
60144,9
60145,4
60146,5
60147,1
60148,1
60149,9
60150,5
60151,7
60152,7
60153,9
60154,2
60155,4
60156,1
60157,2
60158,1
60159,4
60160,8
60161,0
60162,7
60163,1
60164,7
60165,9
60166,2
60167,2
60168,5
60169,6
60170,6
60171,7
60172,1
60173,3
60174,0
60175,6
60176,0
60177,8
60178,6
60179,9
60180,6
60181,5
60182,5
60183,1
60184,9
60185,7
60186,1
60187,0
60188,5
60189,4
60190,0
60191,8
60192,6
60193,5
60194,3
60195,1
60196,9
60197,1
60198,5
60199,4
60200,3
60201,7
60202,2
60203,1
60204,8
60205,2
60206,7
60207,2
60208,4
60209,2
60210,6
60211,1
60212,7
60213,0
60214,9
60215,0
60216,4
60217,3
60218,6
60219,2
60220,5
60221,3
60222,2
60223,7
60224,7
60225,7
60226,9
60227,5
60228,4
60229,6
60230,9
60231,9
60232,4
60233,4
60234,8
60235,1
60236,6
60237,6
60238,3
60239,1
60240,5
60241,8
60242,9
60243,6
60244,9
60245,6
60246,9
60247,6
60248,9
60249,4
60250,9
60251,6
60252,0
60253,5
60254,7
60255,9
60256,4
60257,3
60258,1
60259,5
60260,8
60261,1
60262,9
60263,6
60264,8
60265,3
60266,3
60267,1
60268,5
60269,7
60270,0
60271,2
60272,0
60273,1
60274,9
60275,6
60276,6
60277,6
60278,4
60279,3
60280,3
60281,7
60282,0
60283,3
60284,1
60285,0
60286,3
60287,7
60288,8
60289,3
60290,1
60291,1
60292,7
60293,6
60294,6
60295,4
60296,9
60297,1
60298,4
60299,5
60300,6
60301,4
